num_cnpj_agente_distribuidora,sig_agente_distribuidora,nom_agente_distribuidora,nome_normalizado,uf,regiao,fonte_geografia,observacao
11615872000180,CERSAD DISTRIBUI,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,cooperativa de distribuicao de energia eletrica salto donner,,,,
11615872000180,CERSAD DISTRIBUIDORA,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,cooperativa de distribuicao de energia eletrica salto donner,,,,
86512670000102,CERSUL,CERSUL - COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,cersul - cooperativa de distribuicao de energia,,,,
97839922000129,CERTAJA,COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,cooperativa regional de energia taquari jacui,,,,
09257558000121,CERTEL ENERGIA,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,cooperativa de distribuicao de energia teutonia,,,,
98042963000152,CERTHIL,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,cooperativa de distribuicao de energia entre rios ltda,,,,
76583962000182,CERTREL,COOPERATIVA DE ENERGIA TREVISO,cooperativa de energia treviso,,,,
55188502000180,CERVAM,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,cooperativa de energizacao e de desenvolvimento do vale do mogi,,,,
49313653000110,CETRIL,COOPERATIVA DE ELETRIFICACAO DE IBIUNA E REGIAO,cooperativa de eletrificacao de ibiuna e regiao,,,,
49313653000110,CETRIL,COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,cooperativa de eletrificacao de ibiuna e regiao,,,,
19527639000158,CFLCL,Companhia Força e Luz Cataguazes-Leopoldina,companhia forca e luz cataguazes-leopoldina,,,,
77882504000107,CFLO,COMPANHIA FORÇA E LUZ DO OESTE,companhia forca e luz do oeste,,,,
01377555000110,CHESP,COMPANHIA HIDROELETRICA SAO PATRICIO - CHESP,companhia hidroeletrica sao patricio - chesp,,,,
01377555000110,CHESP,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,companhia hidroeletrica sao patricio - chesp,,,,
61416244000144,CNEE,COMPANHIA NACIONAL DE ENERGIA ELÉTRICA,companhia nacional de energia eletrica,,,,
75805895000130,COCEL,COMPANHIA CAMPOLARGUENSE DE ENERGIA COCEL,companhia campolarguense de energia cocel,,,,
11810343000138,CODESAM,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SANTA MARIA,cooperativa de distribuicao de energia eletrica santa maria,,,,
15139629000194,COELBA,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA,companhia de eletricidade do estado da bahia coelba,,,,
83646653000170,COOPERA,COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO - COOPERA,cooperativa pioneira de eletrificacao - coopera,,,,
83647990000181,COOPERALIANÇA,COOPERATIVA ALIANCA,cooperativa alianca,,,,
83647990000181,COOPERALIANÇA,COOPERATIVA ALIANÇA,cooperativa alianca,,,,
86532348000145,COOPERCOCAL,COOPERATIVA ENERGÉTICA COCAL,cooperativa energetica cocal,,,,
95824322000161,COOPERLUZ,COOPERLUZ - COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,cooperluz - cooperativa distribuidora de energia fronteira noroeste,,,,
75568154000183,COOPERMILA,COOPERATIVA DE ELETRIFICAÇÃO LAURO MULLER,cooperativa de eletrificacao lauro muller,,,,
88022918000182,COOPERNORTE,COOPERATIVA REGIONAL DE DISTRIBUICAO DE ENERGIA DO LITORAL NORTE - COOPERNORTE,cooperativa regional de distribuicao de energia do litoral norte - coopernorte,,,,
88022918000182,COOPERNORTE,COOPERATIVA REGIONAL DE DISTRIBUIÇÃO DE ENERGIA DO LITORAL NORTE - COOPERNORTE,cooperativa regional de distribuicao de energia do litoral norte - coopernorte,,,,
87462750000163,COOPERSUL,COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,cooperativa regional de eletrificacao rural fronteira sul ltda,,,,
78829843000192,COOPERZEM,COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,cooperzem cooperativa de distribuicao de energia eletrica,,,,
86448057000173,COORSEL,COOPERATIVA REGIONAL SUL DE ELETRIFICACAO RURAL,cooperativa regional sul de eletrificacao rural,,,,
86448057000173,COORSEL,COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,cooperativa regional sul de eletrificacao rural,,,,
04368898000106,COPEL-DIS,COPEL DISTRIBUIÇÃO S.A.,copel distribuicao s.a.,,,,
